"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17296-62497","RB","David","","Johnson","23.5","13","9800","NO@ARI","ARI","NO","","","",""
"17296-38791","RB","Ezekiel","","Elliott","20.107691838191105","13","8500","TB@DAL","DAL","TB","","","",""
"17296-6616","QB","Matt","","Ryan","21.97692401592548","13","8500","SF@ATL","ATL","SF","","","",""
"17296-14190","WR","Julio","","Jones","15.941666920979818","12","8400","SF@ATL","ATL","SF","O","Toe","",""
"17296-32384","WR","Mike","","Evans","16.46153846153846","13","8200","TB@DAL","TB","DAL","","","",""
"17296-6504","QB","Drew","","Brees","21.607691838191105","13","8200","NO@ARI","NO","ARI","","","",""
"17296-6498","QB","Tom","","Brady","22.993333604600693","9","8100","NE@DEN","NE","DEN","","","",""
"17296-28900","RB","Melvin","","Gordon","17.7000004695012","13","8000","OAK@SD","SD","OAK","O","Hip","",""
"17296-45859","QB","Derek","","Carr","18.490769606370193","13","7900","OAK@SD","OAK","SD","","","",""
"17296-31716","QB","Dak","","Prescott","18.873846200796272","13","7900","TB@DAL","DAL","TB","","","",""
"17296-24849","QB","Jameis","","Winston","17.789230346679688","13","7800","TB@DAL","TB","DAL","","","",""
"17296-7968","QB","Philip","","Rivers","17.535385131835938","13","7800","OAK@SD","SD","OAK","","","",""
"17296-24920","RB","Devonta","","Freeman","14.276923546424278","13","7700","SF@ATL","ATL","SF","","","",""
"17296-14185","QB","Cam","","Newton","18.638333638509113","12","7700","CAR@WAS","CAR","WAS","Q","Shoulder","",""
"17296-6748","QB","Carson","","Palmer","16.661666870117188","12","7600","NO@ARI","ARI","NO","","","",""
"17296-22038","QB","Kirk","","Cousins","19.869229830228367","13","7500","CAR@WAS","WAS","CAR","","","",""
"17296-11435","WR","Dez","","Bryant","11.740000152587891","10","7500","TB@DAL","DAL","TB","Q","Back","",""
"17296-14231","QB","Colin","","Kaepernick","18.459999084472656","8","7500","SF@ATL","SF","ATL","","","",""
"17296-31001","WR","Amari","","Cooper","12.73076923076923","13","7400","OAK@SD","OAK","SD","Q","Shoulder","",""
"17296-6883","WR","Larry","","Fitzgerald","12.707692072941708","13","7200","NO@ARI","ARI","NO","","","",""
"17296-28473","RB","Carlos","","Hyde","14.60909063165838","11","7000","SF@ATL","SF","ATL","","","",""
"17296-34331","RB","Latavius","","Murray","15.899999445134943","11","6800","OAK@SD","OAK","SD","","","",""
"17296-30298","TE","Jordan","","Reed","12.4","10","6800","CAR@WAS","WAS","CAR","Q","Shoulder - ac joint","",""
"17296-11432","WR","Demaryius","","Thomas","12.192307692307692","13","6700","NE@DEN","DEN","NE","","","",""
"17296-11505","WR","Emmanuel","","Sanders","12.59230745755709","13","6600","NE@DEN","DEN","NE","","","",""
"17296-28434","QB","Trevor","","Siemian","15.454545454545455","11","6600","NE@DEN","DEN","NE","","","",""
"17296-24929","WR","Kelvin","","Benjamin","10","13","6600","CAR@WAS","CAR","WAS","Q","Back","",""
"17296-62535","WR","Tyrell","","Williams","11.846153846153847","13","6500","OAK@SD","SD","OAK","","","",""
"17296-27776","RB","Tevin","","Coleman","13.360000610351562","10","6500","SF@ATL","ATL","SF","","","",""
"17296-21970","RB","Doug","","Martin","10.614286150251116","7","6500","TB@DAL","TB","DAL","","","",""
"17296-7859","WR","Julian","","Edelman","10.13076899601863","13","6400","NE@DEN","NE","DEN","","","",""
"17296-14211","RB","Mark","","Ingram","12.5","13","6400","NO@ARI","NO","ARI","","","",""
"17296-28573","WR","Michael","","Thomas","12.966667175292969","12","6400","NO@ARI","NO","ARI","","","",""
"17296-11779","RB","LeGarrette","","Blount","14.784615149864784","13","6300","NE@DEN","NE","DEN","","","",""
"17296-6914","TE","Greg","","Olsen","11.015384380634014","13","6300","CAR@WAS","CAR","WAS","","","",""
"17296-22288","WR","Cole","","Beasley","10.292307927058292","13","6300","TB@DAL","DAL","TB","","","",""
"17296-29501","WR","Brandin","","Cooks","13.125","12","6300","NO@ARI","NO","ARI","","","",""
