"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17108-28181","RB","Le'Veon","","Bell","21.012500762939453","8","9300","NYG@PIT","PIT","NYG","","","",""
"17108-62497","RB","David","","Johnson","23.3545448996804","11","9200","WAS@ARI","ARI","WAS","","","",""
"17108-11612","WR","Antonio","","Brown","18.33636335893111","11","9000","NYG@PIT","PIT","NYG","","","",""
"17108-31360","WR","Odell","","Beckham Jr.","15.454545454545455","11","9000","NYG@PIT","NYG","PIT","","","",""
"17108-32384","WR","Mike","","Evans","18.227272727272727","11","8500","TB@SD","TB","SD","","","",""
"17108-6779","RB","LeSean","","McCoy","17.539999389648436","10","8400","BUF@OAK","BUF","OAK","","","",""
"17108-6589","QB","Ben","","Roethlisberger","20.5","10","8300","NYG@PIT","PIT","NYG","","","",""
"17108-7968","QB","Philip","","Rivers","18.24727283824574","11","8200","TB@SD","SD","TB","","","",""
"17108-45859","QB","Derek","","Carr","19.509091463955965","11","8100","BUF@OAK","OAK","BUF","","","",""
"17108-28900","RB","Melvin","","Gordon","18.89090936834162","11","8000","TB@SD","SD","TB","","","",""
"17108-6826","QB","Eli","","Manning","16.498181429776277","11","7900","NYG@PIT","NYG","PIT","","","",""
"17108-31001","WR","Amari","","Cooper","13.381817904385654","11","7800","BUF@OAK","OAK","BUF","","","",""
"17108-24849","QB","Jameis","","Winston","18.727272727272727","11","7600","TB@SD","TB","SD","","","",""
"17108-22038","QB","Kirk","","Cousins","20.318181818181817","11","7500","WAS@ARI","WAS","ARI","","","",""
"17108-30298","TE","Jordan","","Reed","13.61111111111111","9","7500","WAS@ARI","WAS","ARI","O","Shoulder - ac joint","",""
"17108-14377","QB","Tyrod","","Taylor","18.17636385830966","11","7400","BUF@OAK","BUF","OAK","","","",""
"17108-6748","QB","Carson","","Palmer","16.374000549316406","10","7000","WAS@ARI","ARI","WAS","","","",""
"17108-6883","WR","Larry","","Fitzgerald","13.60909063165838","11","7000","WAS@ARI","ARI","WAS","","","",""
"17108-34331","RB","Latavius","","Murray","14.955556233723959","9","6700","BUF@OAK","OAK","BUF","Q","Ankle","",""
"17108-62535","WR","Tyrell","","Williams","12.227272727272727","11","6600","TB@SD","SD","TB","Q","Shoulder","",""
"17108-24755","WR","Jamison","","Crowder","12.89090936834162","11","6600","WAS@ARI","WAS","ARI","","","",""
"17108-21970","RB","Doug","","Martin","9.1","5","6500","TB@SD","TB","SD","","","",""
